MicrobeID,Strain,Species,Genus,Family,Order,Class,Phylum,Kingdom,NCBI Taxonomy ID,RefSeq ID,Genbank ID,Gram Staining,Oxygen Requirement,BacDive ID,BacDive strain,Download link
Anaerococcus_sp_HMSC065G05,Anaerococcus sp. HMSC065G05,Anaerococcus sp. HMSC065G05,Anaerococcus,Peptoniphilaceae,Tissierellales,Tissierellia,Firmicutes,Bacteria,1739356,GCF_001812365.1,GCA_001812365.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/812/365/GCF_001812365.1_ASM181236v1/GCF_001812365.1_ASM181236v1_genomic.fna.gz
Anaerococcus_sp_HMSC068A02,Anaerococcus sp. HMSC068A02,Anaerococcus sp. HMSC068A02,Anaerococcus,Peptoniphilaceae,Tissierellales,Tissierellia,Firmicutes,Bacteria,1739286,GCF_001811125.1,GCA_001811125.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/811/125/GCF_001811125.1_ASM181112v1/GCF_001811125.1_ASM181112v1_genomic.fna.gz
Anaerococcus_sp_HMSC075B03,Anaerococcus sp. HMSC075B03,Anaerococcus sp. HMSC075B03,Anaerococcus,Peptoniphilaceae,Tissierellales,Tissierellia,Firmicutes,Bacteria,1739537,GCF_001815585.1,GCA_001815585.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/815/585/GCF_001815585.1_ASM181558v1/GCF_001815585.1_ASM181558v1_genomic.fna.gz
Anaerostipes_sp_AF04_45,Anaerostipes sp. AF04-45,Anaerostipes sp. AF04-45,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292912,GCF_003461725.1,GCA_003461725.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/461/725/GCF_003461725.1_ASM346172v1/GCF_003461725.1_ASM346172v1_genomic.fna.gz
Atopobium_sp_BS2,Atopobium sp. BS2,Atopobium sp. BS2,Atopobium,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,936550,GCF_000565075.1,GCA_000565075.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/075/GCF_000565075.1_AspBS2v1.0/GCF_000565075.1_AspBS2v1.0_genomic.fna.gz
Atopobium_sp_ICM42b,Atopobium sp. ICM42b,Atopobium sp. ICM42b,Atopobium,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,1190620,GCF_000564995.1,GCA_000564995.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/564/995/GCF_000564995.1_AspICM42bv1.0/GCF_000564995.1_AspICM42bv1.0_genomic.fna.gz
Bacteroides_sp_AF14_46,Bacteroides sp. AF14-46,Bacteroides sp. AF14-46,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,2292914,,GCA_003479635.1,Gram-,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/479/635/GCA_003479635.1_ASM347963v1/GCA_003479635.1_ASM347963v1_genomic.fna.gz
Bacteroides_sp_AF17_1,Bacteroides sp. AF17-1,Bacteroides sp. AF17-1,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,2292919,GCF_003604075.1,GCA_003604075.1,Gram-,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/604/075/GCF_003604075.1_ASM360407v1/GCF_003604075.1_ASM360407v1_genomic.fna.gz
Bacteroides_sp_AM37_9,Bacteroides sp. AM37-9,Bacteroides sp. AM37-9,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,2292951,GCF_003603455.1,GCA_003603455.1,Gram-,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/603/455/GCF_003603455.1_ASM360345v1/GCF_003603455.1_ASM360345v1_genomic.fna.gz
Bifidobacterium_sp_N4G05,Bifidobacterium sp. N4G05,Bifidobacterium sp. N4G05,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,2013020,GCF_002742445.1,GCA_002742445.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/742/445/GCF_002742445.1_ASM274244v1/GCF_002742445.1_ASM274244v1_genomic.fna.gz
Bifidobacterium_sp_N5G01,Bifidobacterium sp. N5G01,Bifidobacterium sp. N5G01,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,2013021,GCF_002742425.1,GCA_002742425.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/742/425/GCF_002742425.1_ASM274242v1/GCF_002742425.1_ASM274242v1_genomic.fna.gz
Blautia_argi_KCTC_15426,Blautia argi KCTC 15426,Blautia sp. N6H1-15,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1912897,GCF_003287895.1,GCA_003287895.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/287/895/GCF_003287895.1_ASM328789v1/GCF_003287895.1_ASM328789v1_genomic.fna.gz
Blautia_faecicola_KGMB01111,Blautia faecicola KGMB01111,Blautia sp. KGMB01111,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2509240,GCF_004123145.1,GCA_004123145.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/123/145/GCF_004123145.1_ASM412314v1/GCF_004123145.1_ASM412314v1_genomic.fna.gz
Blautia_schinkii_DSM_10518,Blautia schinkii DSM 10518,Blautia schinkii,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1410649,GCF_000702025.1,GCA_000702025.1,Gram+,Anaerobe,18072,Blautia schinkii B DSM 10518,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/702/025/GCA_000702025.1_ASM70202v1/GCA_000702025.1_ASM70202v1_genomic.fna.gz
Blautia_sp_aa_0143,Blautia sp. aa_0143,Blautia sp. aa_0143,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2478953,GCF_004167315.1,GCA_004167315.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/167/315/GCF_004167315.1_ASM416731v1/GCF_004167315.1_ASM416731v1_genomic.fna.gz
Blautia_sp_AF13_16,Blautia sp. AF13-16,Blautia sp. AF13-16,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292195,GCF_003479705.1,GCA_003479705.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/479/705/GCF_003479705.1_ASM347970v1/GCF_003479705.1_ASM347970v1_genomic.fna.gz
Blautia_sp_AF14_40,Blautia sp. AF14-40,Blautia sp. AF14-40,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292958,GCF_003479665.1,GCA_003479665.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/479/665/GCF_003479665.1_ASM347966v1/GCF_003479665.1_ASM347966v1_genomic.fna.gz
Blautia_sp_AF17_9LB,Blautia sp. AF17-9LB,Blautia sp. AF17-9LB,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292959,GCF_003479185.1,GCA_003479185.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/479/185/GCF_003479185.1_ASM347918v1/GCF_003479185.1_ASM347918v1_genomic.fna.gz
Blautia_sp_AF19_1,Blautia sp. AF19-1,Blautia sp. AF19-1,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292960,GCF_003479155.1,GCA_003479155.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/479/155/GCF_003479155.1_ASM347915v1/GCF_003479155.1_ASM347915v1_genomic.fna.gz
Blautia_sp_AF22_5LB,Blautia sp. AF22-5LB,Blautia sp. AF22-5LB,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292964,GCF_003478705.1,GCA_003478705.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/478/705/GCF_003478705.1_ASM347870v1/GCF_003478705.1_ASM347870v1_genomic.fna.gz
Blautia_sp_AF26_2,Blautia sp. AF26-2,Blautia sp. AF26-2,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292966,GCF_003460955.1,GCA_003460955.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/460/955/GCF_003460955.1_ASM346095v1/GCF_003460955.1_ASM346095v1_genomic.fna.gz
Blautia_sp_AF32_4BH,Blautia sp. AF32-4BH,Blautia sp. AF32-4BH,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292967,GCF_003460565.1,GCA_003460565.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/460/565/GCF_003460565.1_ASM346056v1/GCF_003460565.1_ASM346056v1_genomic.fna.gz
Blautia_sp_AF34_10,Blautia sp. AF34-10,Blautia sp. AF34-10,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292968,GCF_003477865.1,GCA_003477865.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/477/865/GCF_003477865.1_ASM347786v1/GCF_003477865.1_ASM347786v1_genomic.fna.gz
Blautia_sp_AM23_13AC,Blautia sp. AM23-13AC,Blautia sp. AM23-13AC,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292971,GCF_003435675.1,GCA_003435675.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/435/675/GCF_003435675.1_ASM343567v1/GCF_003435675.1_ASM343567v1_genomic.fna.gz
Blautia_sp_AM29_29,Blautia sp. AM29-29,Blautia sp. AM29-29,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292975,GCF_003480555.1,GCA_003480555.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/480/555/GCF_003480555.1_ASM348055v1/GCF_003480555.1_ASM348055v1_genomic.fna.gz
Blautia_sp_AM42_2,Blautia sp. AM42-2,Blautia sp. AM42-2,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292976,GCF_003480245.1,GCA_003480245.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/480/245/GCF_003480245.1_ASM348024v1/GCF_003480245.1_ASM348024v1_genomic.fna.gz
Blautia_sp_AM47_4,Blautia sp. AM47-4,Blautia sp. AM47-4,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292979,GCF_003479865.1,GCA_003479865.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/479/865/GCF_003479865.1_ASM347986v1/GCF_003479865.1_ASM347986v1_genomic.fna.gz
Blautia_sp_BCRC_81119,Blautia sp. BCRC 81119,Blautia sp. BCRC 81119,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2212480,GCF_003184505.1,GCA_003184505.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/505/GCF_003184505.1_ASM318450v1/GCF_003184505.1_ASM318450v1_genomic.fna.gz
Blautia_sp_KLE_1732,Blautia sp. KLE 1732,Blautia sp. KLE 1732,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1226324,GCF_000466565.1,GCA_000466565.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/466/565/GCF_000466565.1_ASM46656v1/GCF_000466565.1_ASM46656v1_genomic.fna.gz
Blautia_sp_Marseille_P2398,Blautia sp. Marseille-P2398,Blautia sp. Marseille-P2398,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1805476,GCF_900078295.2,GCA_900078295.2,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/078/295/GCF_900078295.2_PRJEB13136/GCF_900078295.2_PRJEB13136_genomic.fna.gz
Blautia_sp_Marseille_P3201T,Blautia sp. Marseille-P3201T,Blautia sp. Marseille-P3201T,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1907659,GCF_900120295.1,GCA_900120295.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/295/GCF_900120295.1_PRJEB18018/GCF_900120295.1_PRJEB18018_genomic.fna.gz
Blautia_sp_OF03_13,Blautia sp. OF03-13,Blautia sp. OF03-13,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292980,GCF_003460685.1,GCA_003460685.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/460/685/GCF_003460685.1_ASM346068v1/GCF_003460685.1_ASM346068v1_genomic.fna.gz
Blautia_sp_OF03_15BH,Blautia sp. OF03-15BH,Blautia sp. OF03-15BH,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292287,GCF_003463065.1,GCA_003463065.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/463/065/GCF_003463065.1_ASM346306v1/GCF_003463065.1_ASM346306v1_genomic.fna.gz
Blautia_sp_OF09_25XD,Blautia sp. OF09-25XD,Blautia sp. OF09-25XD,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292981,GCF_003482095.1,GCA_003482095.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/482/095/GCF_003482095.1_ASM348209v1/GCF_003482095.1_ASM348209v1_genomic.fna.gz
Blautia_sp_OM05_6,Blautia sp. OM05-6,Blautia sp. OM05-6,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292983,GCF_003481455.1,GCA_003481455.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/481/455/GCF_003481455.1_ASM348145v1/GCF_003481455.1_ASM348145v1_genomic.fna.gz
Blautia_sp_SF_50,Blautia sp. SF-50,Blautia sp. SF-50,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1520805,GCF_900101315.1,GCA_900101315.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/315/GCF_900101315.1_IMG-taxon_2593339257_annotated_assembly/GCF_900101315.1_IMG-taxon_2593339257_annotated_assembly_genomic.fna.gz
Blautia_sp_SG_772,Blautia sp. SG-772,Blautia sp. SG-772,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2109334,GCF_003011855.2,GCA_003011855.2,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/011/855/GCF_003011855.2_ASM301185v2/GCF_003011855.2_ASM301185v2_genomic.fna.gz
Burkholderiales_bacterium,Burkholderiales bacterium,Unknown Burkholderiales bacterium,Unknown,Unknown,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1891238,,GCA_003136595.1,Gram-,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/136/595/GCA_003136595.1_20110800_S3S/GCA_003136595.1_20110800_S3S_genomic.fna.gz
Butyricicoccus_sp_AF10_3,Butyricicoccus sp. AF10-3,Butyricicoccus sp. AF10-3,Butyricicoccus,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292196,GCF_003479745.1,GCA_003479745.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/479/745/GCF_003479745.1_ASM347974v1/GCF_003479745.1_ASM347974v1_genomic.fna.gz
Butyricicoccus_sp_AM05_1,Butyricicoccus sp. AM05-1,Butyricicoccus sp. AM05-1,Butyricicoccus,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292004,GCF_003474415.1,GCA_003474415.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/474/415/GCF_003474415.1_ASM347441v1/GCF_003474415.1_ASM347441v1_genomic.fna.gz
Butyricicoccus_sp_AM27_36,Butyricicoccus sp. AM27-36,Butyricicoccus sp. AM27-36,Butyricicoccus,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292293,GCF_003480945.1,GCA_003480945.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/480/945/GCF_003480945.1_ASM348094v1/GCF_003480945.1_ASM348094v1_genomic.fna.gz
Butyricicoccus_sp_AM28_25,Butyricicoccus sp. AM28-25,Butyricicoccus sp. AM28-25,Butyricicoccus,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292294,GCF_003480615.1,GCA_003480615.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/480/615/GCF_003480615.1_ASM348061v1/GCF_003480615.1_ASM348061v1_genomic.fna.gz
Butyricicoccus_sp_AM42_5AC,Butyricicoccus sp. AM42-5AC,Butyricicoccus sp. AM42-5AC,Butyricicoccus,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292297,GCF_003480085.1,GCA_003480085.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/480/085/GCF_003480085.1_ASM348008v1/GCF_003480085.1_ASM348008v1_genomic.fna.gz
Butyricicoccus_sp_GAM44,Butyricicoccus sp. GAM44,Butyricicoccus sp. GAM44,Butyricicoccus,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2109686,,GCA_003202935.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/202/935/GCA_003202935.1_ASM320293v1/GCA_003202935.1_ASM320293v1_genomic.fna.gz
Campylobacter_sp_AAUH_44UCsig_a,Campylobacter sp. AAUH-44UCsig-a,Campylobacter sp. AAUH-44UCsig-a,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria,2067673,GCF_002912445.1,GCA_002912445.1,Gram-,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/912/445/GCF_002912445.1_ASM291244v1/GCF_002912445.1_ASM291244v1_genomic.fna.gz
Candidatus_Microthrix_parvicella_Bio17_1,Candidatus Microthrix parvicella Bio17-1,Candidatus Microthrix parvicella,Candidatus Microthrix,Microthrixaceae,Acidimicrobiales,Acidimicrobiia,Actinobacteria,Bacteria,41950,GCF_000299415.1,GCA_002381065.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/415/GCF_000299415.1_ASM29941v1/GCF_000299415.1_ASM29941v1_genomic.fna.gz
Candidatus_Saccharibacteria_bacterium,Candidatus Saccharibacteria bacterium,Unknown Candidatus Saccharibacteria bacterium,Unknown,Unknown,Unknown,Unknown,Candidatus Saccharibacteria,Bacteria,2026720,,GCA_002699225.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/699/225/GCA_002699225.1_ASM269922v1/GCA_002699225.1_ASM269922v1_genomic.fna.gz
Citrobacter_farmeri_AUSMDU00008141,Citrobacter farmeri AUSMDU00008141,Citrobacter farmeri,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,67824,GCF_002249995.1,GCA_002249995.1,Gram-,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/995/GCF_002249995.1_ASM224999v1/GCF_002249995.1_ASM224999v1_genomic.fna.gz
Citrobacter_sp_CtB7_12,Citrobacter sp. CtB7.12,Citrobacter sp. CtB7.12,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,1696093,GCF_001297795.1,GCA_001297795.1,Gram-,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/297/795/GCF_001297795.1_ASM129779v1/GCF_001297795.1_ASM129779v1_genomic.fna.gz
Clostridia_bacterium_UC5_1_1D1,Clostridia bacterium UC5.1-1D1,Vallitalea Clostridia bacterium UC5.1-1D1,Vallitalea,Defluviitaleaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1697794,,GCA_001305135.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/305/135/GCA_001305135.1_ASM130513v1/GCA_001305135.1_ASM130513v1_genomic.fna.gz
Clostridia_bacterium_UC5_1_1D10,Clostridia bacterium UC5.1-1D10,Vallitalea Clostridia bacterium UC5.1-1D10,Vallitalea,Defluviitaleaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1697787,,GCA_001304995.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/304/995/GCA_001304995.1_ASM130499v1/GCA_001304995.1_ASM130499v1_genomic.fna.gz
